transaction_id,amount_deviation,new_beneficiary,urgency,scam_language,refund_redirection,transaction_velocity,behaviour_deviation,combined_context,model_prediction,model_probability,payment_amount,upi,actual_outcome,timestamp
bUyZiL00wp0yfN4WleZN,1.7142857142857142,1,1,1,0,0,1,1,1,0.99,4500,service.help@upi,0,2026-09-19T04:17:43.292Z
bUyZiL00wp0yfN4WleZN,1.7142857142857142,1,1,1,0,0,1,1,1,0.99,4500,service.help@upi,0,2026-09-19T04:17:44.864Z
TXN-1789794954884-AO1D6Y,0.23076923076923078,0,0,0,0,0,0,0,0,0.0003,750,rahul@upi,0,2026-09-19T05:16:00.029Z
TXN-1789795249351-G4CMEV,1.7142857142857142,1,0,0,0,0,1,0,0,0.0252,4500,630245@upi,0,2026-09-19T05:22:38.081Z
TXN-1789795249351-G4CMEV,1.7142857142857142,1,0,0,0,0,1,0,0,0.0252,4500,630245@upi,0,2026-09-19T05:22:44.777Z
TXN-1789795249351-G4CMEV,1.7142857142857142,1,0,0,0,0,1,0,0,0.0252,4500,630245@upi,0,2026-09-19T05:23:23.667Z
TXN-1789796858384-A2Y3TL,0.6666666666666666,1,0,1,0,0,1,0,0,0.1051,2000,prize.claim@upi,1,2026-09-19T05:47:43.295Z
TXN-1789796858384-A2Y3TL,0.6666666666666666,1,0,1,0,0,1,0,0,0.1051,2000,prize.claim@upi,1,2026-09-19T05:47:46.522Z
TXN-1789796858384-A2Y3TL,0.6666666666666666,1,0,1,0,0,1,0,0,0.1051,2000,prize.claim@upi,0,2026-09-19T05:47:48.027Z
TXN-1789796858384-A2Y3TL,0.6666666666666666,1,0,1,0,0,1,0,0,0.1051,2000,prize.claim@upi,1,2026-09-19T05:47:50.395Z
TXN-1789797720359-41D3JO,0.00018986407138889085,1,1,1,0,0,1,1,1,0.9657,1,bank.helpdesk@upi,1,2026-09-19T06:02:04.320Z
